Entity,Date,Cumulative excess deaths associated with COVID-19 pandemic (mean),Cumulative excess deaths associated with COVID-19 pandemic (upper 95% CI),Cumulative excess deaths associated with COVID-19 pandemic (low 95% CI),Cumulative excess deaths (central estimate),"Cumulative excess deaths (95% CI, lower bound)","Cumulative excess deaths (95% CI, upper bound)",Total_Deaths,Deaths_per_day
United States,1/3/2022,,,,1030470.1,1030470.1,1030470.1,822163,430
United States,1/2/2022,,,,,,,821733,1344
United States,1/1/2022,,,,,,,820389,1334
United States,12/31/2021,968425.3,1013269.3,925435.75,,,,819055,1823
United States,12/30/2021,,,,,,,817232,2331
United States,12/29/2021,,,,,,,814901,1786
United States,12/28/2021,,,,,,,813115,266
United States,12/27/2021,,,,1014254.06,1014254.06,1014254.06,812849,262
United States,12/26/2021,,,,,,,812587,1368
United States,12/25/2021,,,,,,,811219,3177
United States,12/24/2021,,,,,,,808042,1854
United States,12/23/2021,,,,,,,806188,2259
United States,12/22/2021,,,,,,,803929,1467
United States,12/21/2021,,,,,,,802462,286
United States,12/20/2021,,,,999969.3,999969.3,999969.3,802176,590
United States,12/19/2021,,,,,,,801586,2034
United States,12/18/2021,,,,,,,799552,1115
United States,12/17/2021,,,,,,,798437,1900
United States,12/16/2021,,,,,,,796537,1908
United States,12/15/2021,,,,,,,794629,1312
United States,12/14/2021,,,,,,,793317,306
United States,12/13/2021,,,,987301,987301,987301,793011,490
United States,12/12/2021,,,,,,,792521,1971
United States,12/11/2021,,,,,,,790550,1162
United States,12/10/2021,,,,,,,789388,1480
United States,12/9/2021,,,,,,,787908,1832
United States,12/8/2021,,,,,,,786076,1288
United States,12/7/2021,,,,,,,784788,281
United States,12/6/2021,,,,974875.75,974875.75,974875.75,784507,572
United States,12/5/2021,,,,,,,783935,1641
United States,12/4/2021,,,,,,,782294,1244
United States,12/3/2021,,,,,,,781050,1727
United States,12/2/2021,,,,,,,779323,1622
United States,12/1/2021,,,,,,,777701,1663
United States,11/30/2021,911116,955987.2,868251.6,,,,776038,193
United States,11/29/2021,,,,961239.2,961239.2,961239.2,775845,214
United States,11/28/2021,,,,,,,775631,563
United States,11/27/2021,,,,,,,775068,465
United States,11/26/2021,,,,,,,774603,1374
United States,11/25/2021,,,,,,,773229,1560
United States,11/24/2021,,,,,,,771669,1177
United States,11/23/2021,,,,,,,770492,177
United States,11/22/2021,,,,948395.3,948395.3,948395.3,770315,374
United States,11/21/2021,,,,,,,769941,1662
United States,11/20/2021,,,,,,,768279,3867
United States,11/19/2021,,,,,,,764412,1442
United States,11/18/2021,,,,,,,762970,1464
United States,11/17/2021,,,,,,,761506,1080
United States,11/16/2021,,,,,,,760426,217
United States,11/15/2021,,,,937341.4,937341.4,937341.4,760209,544
United States,11/14/2021,,,,,,,759665,1734
United States,11/13/2021,,,,,,,757931,970
United States,11/12/2021,,,,,,,756961,1345
United States,11/11/2021,,,,,,,755616,1587
United States,11/10/2021,,,,,,,754029,1161
United States,11/9/2021,,,,,,,752868,256
United States,11/8/2021,,,,927268.9,927268.9,927268.9,752612,476
United States,11/7/2021,,,,,,,752136,1614
United States,11/6/2021,,,,,,,750522,1204
United States,11/5/2021,,,,,,,749318,1188
United States,11/4/2021,,,,,,,748130,1450
United States,11/3/2021,,,,,,,746680,1196
United States,11/2/2021,,,,,,,745484,302
United States,11/1/2021,,,,915917.2,915917.2,915917.2,745182,453
United States,10/31/2021,875170.6,918991.4,833615.5,,,,744729,1790
United States,10/30/2021,,,,,,,742939,1277
United States,10/29/2021,,,,,,,741662,1765
United States,10/28/2021,,,,,,,739897,2052
United States,10/27/2021,,,,,,,737845,1030
United States,10/26/2021,,,,,,,736815,347
